,file_name,angry,disgust,fear,happy,neutral,sad,surprise
0,E:/kcc2023/un-labeled\1.강제추행(성범죄)_105080_label.wav,0.10752261,0.21816957,0.12238548,0.10256624,0.15060154,0.12849605,0.17025842
1,E:/kcc2023/un-labeled\1.강제추행(성범죄)_105092_label.wav,0.1733527,0.1723739,0.12182122,0.1331306,0.16107605,0.09819883,0.14004672
2,E:/kcc2023/un-labeled\1.강제추행(성범죄)_105094_label.wav,0.108636335,0.35304835,0.111284465,0.1059215,0.11033074,0.077935435,0.13284317
3,E:/kcc2023/un-labeled\1.강제추행(성범죄)_105105_label.wav,0.11217908,0.24513017,0.10998179,0.12278217,0.121432886,0.08944522,0.19904868
4,E:/kcc2023/un-labeled\1.강제추행(성범죄)_105205_label.wav,0.13019311,0.21025729,0.10396346,0.08374984,0.11845449,0.18833324,0.1650487
5,E:/kcc2023/un-labeled\1.강제추행(성범죄)_105229_label.wav,0.27949494,0.07665765,0.15440771,0.09849379,0.17216901,0.094976276,0.123800606
6,E:/kcc2023/un-labeled\1.강제추행(성범죄)_105242_label.wav,0.22656405,0.1587451,0.1190001,0.11838414,0.1676852,0.09476555,0.114855856
7,E:/kcc2023/un-labeled\1.강제추행(성범죄)_105312_label.wav,0.13150823,0.29598162,0.090117194,0.13006608,0.07640638,0.08997185,0.18594857
8,E:/kcc2023/un-labeled\1.강제추행(성범죄)_105321_label.wav,0.20276548,0.19855061,0.11497158,0.09376845,0.13289234,0.09909288,0.15795866
9,E:/kcc2023/un-labeled\1.강제추행(성범죄)_105338_label.wav,0.19028068,0.14098918,0.09092103,0.14569715,0.14692736,0.10772365,0.17746098
10,E:/kcc2023/un-labeled\1.강제추행(성범죄)_105352_label.wav,0.12312267,0.3027725,0.07753918,0.19520725,0.07215428,0.09027614,0.13892798
11,E:/kcc2023/un-labeled\1.강제추행(성범죄)_105374_label.wav,0.1147159,0.20219709,0.12483272,0.10568256,0.08727161,0.072742045,0.29255804
12,E:/kcc2023/un-labeled\1.강제추행(성범죄)_105391_label.wav,0.09482042,0.24157184,0.10282543,0.2457172,0.096310444,0.07014079,0.14861386
13,E:/kcc2023/un-labeled\1.강제추행(성범죄)_105429_label.wav,0.28868482,0.17519242,0.08505529,0.09407411,0.07981516,0.09742969,0.17974854
14,E:/kcc2023/un-labeled\1.강제추행(성범죄)_105488_label.wav,0.24920139,0.08888094,0.15421028,0.063077584,0.1628093,0.080783695,0.20103681
