,file_name,label_pred
0,1.강제추행(성범죄)_105080_label.wav,1.0
1,1.강제추행(성범죄)_105092_label.wav,1.0
2,1.강제추행(성범죄)_105094_label.wav,1.0
3,1.강제추행(성범죄)_105105_label.wav,1.0
4,1.강제추행(성범죄)_105205_label.wav,1.0
5,1.강제추행(성범죄)_105229_label.wav,1.0
6,1.강제추행(성범죄)_105242_label.wav,1.0
7,1.강제추행(성범죄)_105312_label.wav,1.0
8,1.강제추행(성범죄)_105321_label.wav,1.0
9,1.강제추행(성범죄)_105338_label.wav,1.0
10,1.강제추행(성범죄)_105352_label.wav,1.0
11,1.강제추행(성범죄)_105374_label.wav,1.0
12,1.강제추행(성범죄)_105391_label.wav,1.0
13,1.강제추행(성범죄)_105429_label.wav,1.0
14,1.강제추행(성범죄)_105488_label.wav,1.0
15,1.강제추행(성범죄)_105494_label.wav,1.0
16,1.강제추행(성범죄)_105550_label.wav,1.0
17,1.강제추행(성범죄)_105587_label.wav,1.0
18,1.강제추행(성범죄)_105661_label.wav,1.0
19,1.강제추행(성범죄)_105663_label.wav,1.0
20,1.강제추행(성범죄)_105667_label.wav,1.0
22,1.강제추행(성범죄)_105701_label.wav,1.0
23,1.강제추행(성범죄)_105702_label.wav,1.0
24,1.강제추행(성범죄)_105715_label.wav,1.0
25,1.강제추행(성범죄)_105727_label.wav,1.0
26,1.강제추행(성범죄)_105732_label.wav,1.0
27,1.강제추행(성범죄)_105749_label.wav,1.0
28,1.강제추행(성범죄)_105820_label.wav,1.0
29,1.강제추행(성범죄)_105827_label.wav,1.0
30,1.강제추행(성범죄)_105832_label.wav,1.0
31,1.강제추행(성범죄)_105872_label.wav,1.0
32,1.강제추행(성범죄)_105883_label.wav,1.0
34,1.강제추행(성범죄)_106014_label.wav,1.0
35,1.강제추행(성범죄)_106017_label.wav,1.0
36,1.강제추행(성범죄)_106019_label.wav,1.0
37,1.강제추행(성범죄)_106029_label.wav,1.0
38,1.강제추행(성범죄)_106051_label.wav,1.0
39,1.강제추행(성범죄)_106084_label.wav,1.0
40,1.강제추행(성범죄)_106100_label.wav,1.0
41,1.강제추행(성범죄)_106130_label.wav,1.0
42,1.강제추행(성범죄)_106139_label.wav,1.0
43,1.강제추행(성범죄)_106159_label.wav,1.0
44,1.강제추행(성범죄)_106172_label.wav,1.0
45,1.강제추행(성범죄)_106179_label.wav,1.0
46,1.강제추행(성범죄)_106229_label.wav,1.0
47,1.강제추행(성범죄)_106270_label.wav,1.0
48,1.강제추행(성범죄)_106288_label.wav,1.0
49,1.강제추행(성범죄)_106363_label.wav,1.0
50,1.강제추행(성범죄)_106395_label.wav,1.0
51,1.강제추행(성범죄)_106487_label.wav,1.0
52,1.강제추행(성범죄)_106501_label.wav,1.0
53,1.강제추행(성범죄)_106524_label.wav,1.0
54,1.강제추행(성범죄)_106590_label.wav,1.0
55,1.강제추행(성범죄)_106671_label.wav,1.0
56,1.강제추행(성범죄)_106679_label.wav,1.0
57,1.강제추행(성범죄)_106734_label.wav,1.0
58,1.강제추행(성범죄)_106739_label.wav,1.0
59,1.강제추행(성범죄)_106754_label.wav,1.0
60,1.강제추행(성범죄)_106824_label.wav,1.0
61,1.강제추행(성범죄)_106831_label.wav,1.0
62,1.강제추행(성범죄)_106853_label.wav,1.0
63,1.강제추행(성범죄)_106881_label.wav,1.0
64,1.강제추행(성범죄)_106884_label.wav,1.0
65,1.강제추행(성범죄)_106892_label.wav,1.0
66,1.강제추행(성범죄)_106896_label.wav,1.0
67,1.강제추행(성범죄)_106951_label.wav,1.0
68,1.강제추행(성범죄)_106961_label.wav,1.0
69,1.강제추행(성범죄)_106987_label.wav,1.0
70,1.강제추행(성범죄)_107040_label.wav,1.0
71,1.강제추행(성범죄)_107042_label.wav,1.0
72,1.강제추행(성범죄)_107043_label.wav,1.0
73,1.강제추행(성범죄)_107073_label.wav,1.0
74,1.강제추행(성범죄)_107082_label.wav,1.0
75,1.강제추행(성범죄)_107112_label.wav,1.0
76,1.강제추행(성범죄)_107133_label.wav,1.0
77,1.강제추행(성범죄)_107135_label.wav,1.0
78,1.강제추행(성범죄)_107261_label.wav,1.0
79,1.강제추행(성범죄)_107454_label.wav,1.0
80,1.강제추행(성범죄)_107464_label.wav,1.0
81,1.강제추행(성범죄)_107491_label.wav,1.0
82,1.강제추행(성범죄)_107496_label.wav,1.0
83,1.강제추행(성범죄)_107582_label.wav,1.0
84,1.강제추행(성범죄)_107585_label.wav,1.0
86,1.강제추행(성범죄)_107666_label.wav,1.0
87,1.강제추행(성범죄)_107730_label.wav,1.0
88,1.강제추행(성범죄)_107767_label.wav,1.0
89,1.강제추행(성범죄)_107812_label.wav,1.0
90,1.강제추행(성범죄)_107817_label.wav,1.0
91,1.강제추행(성범죄)_107823_label.wav,1.0
93,1.강제추행(성범죄)_107892_label.wav,1.0
94,1.강제추행(성범죄)_107896_label.wav,1.0
95,1.강제추행(성범죄)_107900_label.wav,1.0
96,1.강제추행(성범죄)_107901_label.wav,1.0
97,1.강제추행(성범죄)_107920_label.wav,1.0
98,1.강제추행(성범죄)_107923_label.wav,1.0
99,1.강제추행(성범죄)_107942_label.wav,1.0
100,1.강제추행(성범죄)_107963_label.wav,1.0
101,1.강제추행(성범죄)_108055_label.wav,1.0
102,1.강제추행(성범죄)_108070_label.wav,1.0
103,1.강제추행(성범죄)_108098_label.wav,1.0
104,1.강제추행(성범죄)_108112_label.wav,1.0
105,1.강제추행(성범죄)_108132_label.wav,1.0
106,1.강제추행(성범죄)_108153_label.wav,1.0
107,1.강제추행(성범죄)_108160_label.wav,1.0
108,1.강제추행(성범죄)_108169_label.wav,1.0
109,1.강제추행(성범죄)_108173_label.wav,1.0
110,1.강제추행(성범죄)_108191_label.wav,1.0
111,1.강제추행(성범죄)_108194_label.wav,1.0
113,1.강제추행(성범죄)_108240_label.wav,1.0
114,1.강제추행(성범죄)_108246_label.wav,1.0
115,1.강제추행(성범죄)_108279_label.wav,1.0
116,1.강제추행(성범죄)_108294_label.wav,1.0
118,1.강제추행(성범죄)_108331_label.wav,1.0
119,1.강제추행(성범죄)_108407_label.wav,1.0
120,1.강제추행(성범죄)_108450_label.wav,1.0
121,1.강제추행(성범죄)_108500_label.wav,1.0
122,1.강제추행(성범죄)_108555_label.wav,1.0
124,1.강제추행(성범죄)_108587_label.wav,1.0
125,1.강제추행(성범죄)_108620_label.wav,1.0
126,1.강제추행(성범죄)_108659_label.wav,1.0
127,1.강제추행(성범죄)_108660_label.wav,1.0
128,1.강제추행(성범죄)_108717_label.wav,1.0
130,1.강제추행(성범죄)_108786_label.wav,1.0
131,1.강제추행(성범죄)_108814_label.wav,1.0
132,1.강제추행(성범죄)_108828_label.wav,1.0
134,1.강제추행(성범죄)_108910_label.wav,1.0
135,1.강제추행(성범죄)_108954_label.wav,1.0
136,1.강제추행(성범죄)_108958_label.wav,1.0
137,1.강제추행(성범죄)_108982_label.wav,1.0
138,1.강제추행(성범죄)_109017_label.wav,1.0
139,1.강제추행(성범죄)_109043_label.wav,1.0
140,1.강제추행(성범죄)_109049_label.wav,1.0
142,1.강제추행(성범죄)_109094_label.wav,1.0
143,1.강제추행(성범죄)_109161_label.wav,1.0
144,1.강제추행(성범죄)_109178_label.wav,1.0
145,1.강제추행(성범죄)_109194_label.wav,1.0
146,1.강제추행(성범죄)_109220_label.wav,1.0
147,1.강제추행(성범죄)_109247_label.wav,1.0
148,1.강제추행(성범죄)_109280_label.wav,1.0
149,1.강제추행(성범죄)_109313_label.wav,1.0
150,1.강제추행(성범죄)_109356_label.wav,1.0
151,1.강제추행(성범죄)_109364_label.wav,1.0
152,1.강제추행(성범죄)_109366_label.wav,1.0
153,1.강제추행(성범죄)_109383_label.wav,1.0
154,1.강제추행(성범죄)_109398_label.wav,1.0
155,1.강제추행(성범죄)_109433_label.wav,1.0
156,1.강제추행(성범죄)_109461_label.wav,1.0
157,1.강제추행(성범죄)_109506_label.wav,1.0
158,1.강제추행(성범죄)_109514_label.wav,1.0
159,1.강제추행(성범죄)_109520_label.wav,1.0
160,1.강제추행(성범죄)_109576_label.wav,1.0
161,1.강제추행(성범죄)_109626_label.wav,1.0
162,1.강제추행(성범죄)_109667_label.wav,1.0
163,1.강제추행(성범죄)_109671_label.wav,1.0
164,1.강제추행(성범죄)_109677_label.wav,1.0
165,1.강제추행(성범죄)_109686_label.wav,1.0
167,1.강제추행(성범죄)_109695_label.wav,1.0
168,1.강제추행(성범죄)_109725_label.wav,1.0
169,1.강제추행(성범죄)_109794_label.wav,1.0
170,1.강제추행(성범죄)_109811_label.wav,1.0
171,1.강제추행(성범죄)_109816_label.wav,1.0
172,1.강제추행(성범죄)_109832_label.wav,1.0
173,1.강제추행(성범죄)_109845_label.wav,1.0
174,1.강제추행(성범죄)_109871_label.wav,1.0
175,1.강제추행(성범죄)_109896_label.wav,1.0
176,1.강제추행(성범죄)_109933_label.wav,1.0
177,1.강제추행(성범죄)_109999_label.wav,1.0
178,1.강제추행(성범죄)_110057_label.wav,1.0
179,1.강제추행(성범죄)_110101_label.wav,1.0
180,1.강제추행(성범죄)_110108_label.wav,1.0
182,1.강제추행(성범죄)_110173_label.wav,1.0
183,1.강제추행(성범죄)_110215_label.wav,1.0
184,1.강제추행(성범죄)_110315_label.wav,1.0
185,1.강제추행(성범죄)_110365_label.wav,1.0
187,1.강제추행(성범죄)_110469_label.wav,1.0
188,1.강제추행(성범죄)_110482_label.wav,1.0
189,1.강제추행(성범죄)_110499_label.wav,1.0
190,1.강제추행(성범죄)_110501_label.wav,1.0
191,1.강제추행(성범죄)_110504_label.wav,1.0
192,1.강제추행(성범죄)_110512_label.wav,1.0
193,1.강제추행(성범죄)_110528_label.wav,1.0
195,1.강제추행(성범죄)_110547_label.wav,1.0
196,1.강제추행(성범죄)_110562_label.wav,1.0
197,1.강제추행(성범죄)_110569_label.wav,1.0
198,1.강제추행(성범죄)_110599_label.wav,1.0
199,1.강제추행(성범죄)_110621_label.wav,1.0
200,1.강제추행(성범죄)_110627_label.wav,1.0
201,1.강제추행(성범죄)_110698_label.wav,1.0
202,1.강제추행(성범죄)_110744_label.wav,1.0
203,1.강제추행(성범죄)_110748_label.wav,1.0
204,1.강제추행(성범죄)_110824_label.wav,1.0
205,1.강제추행(성범죄)_110834_label.wav,1.0
206,1.강제추행(성범죄)_110837_label.wav,1.0
207,1.강제추행(성범죄)_110838_label.wav,1.0
208,1.강제추행(성범죄)_110843_label.wav,1.0
209,1.강제추행(성범죄)_110875_label.wav,1.0
210,1.강제추행(성범죄)_110876_label.wav,1.0
211,1.강제추행(성범죄)_110948_label.wav,1.0
212,1.강제추행(성범죄)_110979_label.wav,1.0
213,1.강제추행(성범죄)_111000_label.wav,1.0
214,1.강제추행(성범죄)_111016_label.wav,1.0
215,1.강제추행(성범죄)_111028_label.wav,1.0
216,1.강제추행(성범죄)_111029_label.wav,1.0
217,1.강제추행(성범죄)_111129_label.wav,1.0
219,1.강제추행(성범죄)_111289_label.wav,1.0
220,1.강제추행(성범죄)_111300_label.wav,1.0
221,1.강제추행(성범죄)_111325_label.wav,1.0
222,1.강제추행(성범죄)_111355_label.wav,1.0
223,1.강제추행(성범죄)_111371_label.wav,1.0
224,1.강제추행(성범죄)_111420_label.wav,1.0
225,1.강제추행(성범죄)_111471_label.wav,1.0
226,1.강제추행(성범죄)_111544_label.wav,1.0
227,1.강제추행(성범죄)_111552_label.wav,1.0
228,1.강제추행(성범죄)_111650_label.wav,1.0
229,1.강제추행(성범죄)_111697_label.wav,1.0
230,1.강제추행(성범죄)_111751_label.wav,1.0
231,1.강제추행(성범죄)_111777_label.wav,1.0
232,1.강제추행(성범죄)_111963_label.wav,1.0
233,1.강제추행(성범죄)_112007_label.wav,1.0
234,1.강제추행(성범죄)_112027_label.wav,1.0
235,1.강제추행(성범죄)_112075_label.wav,1.0
236,1.강제추행(성범죄)_112127_label.wav,1.0
237,1.강제추행(성범죄)_112319_label.wav,1.0
238,1.강제추행(성범죄)_112347_label.wav,1.0
239,1.강제추행(성범죄)_112406_label.wav,1.0
240,1.강제추행(성범죄)_112431_label.wav,1.0
241,1.강제추행(성범죄)_112437_label.wav,1.0
242,1.강제추행(성범죄)_112441_label.wav,1.0
243,1.강제추행(성범죄)_112482_label.wav,1.0
244,1.강제추행(성범죄)_112600_label.wav,1.0
245,1.강제추행(성범죄)_112670_label.wav,1.0
247,1.강제추행(성범죄)_112799_label.wav,1.0
248,1.강제추행(성범죄)_112939_label.wav,1.0
249,1.강제추행(성범죄)_112992_label.wav,1.0
250,1.강제추행(성범죄)_113099_label.wav,1.0
251,1.강제추행(성범죄)_113155_label.wav,1.0
252,1.강제추행(성범죄)_113180_label.wav,1.0
253,1.강제추행(성범죄)_113286_label.wav,1.0
254,1.강제추행(성범죄)_113290_label.wav,1.0
256,1.강제추행(성범죄)_113311_label.wav,1.0
257,1.강제추행(성범죄)_113458_label.wav,1.0
258,1.강제추행(성범죄)_113572_label.wav,1.0
259,1.강제추행(성범죄)_113614_label.wav,1.0
260,1.강제추행(성범죄)_113739_label.wav,1.0
261,1.강제추행(성범죄)_113858_label.wav,1.0
263,1.강제추행(성범죄)_113965_label.wav,1.0
264,1.강제추행(성범죄)_113988_label.wav,1.0
265,1.강제추행(성범죄)_114080_label.wav,1.0
266,1.강제추행(성범죄)_114085_label.wav,1.0
267,1.강제추행(성범죄)_114109_label.wav,1.0
268,1.강제추행(성범죄)_114189_label.wav,1.0
269,1.강제추행(성범죄)_114373_label.wav,1.0
270,1.강제추행(성범죄)_114448_label.wav,1.0
271,1.강제추행(성범죄)_114510_label.wav,1.0
272,1.강제추행(성범죄)_114604_label.wav,1.0
273,1.강제추행(성범죄)_114627_label.wav,1.0
274,1.강제추행(성범죄)_114758_label.wav,1.0
275,1.강제추행(성범죄)_114798_label.wav,1.0
276,1.강제추행(성범죄)_114808_label.wav,1.0
277,1.강제추행(성범죄)_114824_label.wav,1.0
278,1.강제추행(성범죄)_114853_label.wav,1.0
279,1.강제추행(성범죄)_114905_label.wav,1.0
280,1.강제추행(성범죄)_114910_label.wav,1.0
281,1.강제추행(성범죄)_114924_label.wav,1.0
282,1.강제추행(성범죄)_114962_label.wav,1.0
283,1.강제추행(성범죄)_114966_label.wav,1.0
284,1.강제추행(성범죄)_114981_label.wav,1.0
285,1.강제추행(성범죄)_115018_label.wav,1.0
286,1.강제추행(성범죄)_115046_label.wav,1.0
287,1.강제추행(성범죄)_115063_label.wav,1.0
288,1.강제추행(성범죄)_115133_label.wav,1.0
289,1.강제추행(성범죄)_115148_label.wav,1.0
290,1.강제추행(성범죄)_115152_label.wav,1.0
292,1.강제추행(성범죄)_115171_label.wav,1.0
293,1.강제추행(성범죄)_115180_label.wav,1.0
294,1.강제추행(성범죄)_115199_label.wav,1.0
295,1.강제추행(성범죄)_115202_label.wav,1.0
296,1.강제추행(성범죄)_115207_label.wav,1.0
297,1.강제추행(성범죄)_115247_label.wav,1.0
298,1.강제추행(성범죄)_115248_label.wav,1.0
299,1.강제추행(성범죄)_115250_label.wav,1.0
300,1.강제추행(성범죄)_115264_label.wav,1.0
301,1.강제추행(성범죄)_115266_label.wav,1.0
302,1.강제추행(성범죄)_115296_label.wav,1.0
303,1.강제추행(성범죄)_115321_label.wav,1.0
304,1.강제추행(성범죄)_115355_label.wav,1.0
305,1.강제추행(성범죄)_115362_label.wav,1.0
306,1.강제추행(성범죄)_115391_label.wav,1.0
307,1.강제추행(성범죄)_115420_label.wav,1.0
308,1.강제추행(성범죄)_115498_label.wav,1.0
309,1.강제추행(성범죄)_115502_label.wav,1.0
310,1.강제추행(성범죄)_115524_label.wav,1.0
311,1.강제추행(성범죄)_115563_label.wav,1.0
312,1.강제추행(성범죄)_115640_label.wav,1.0
313,1.강제추행(성범죄)_115645_label.wav,1.0
314,1.강제추행(성범죄)_115678_label.wav,1.0
315,1.강제추행(성범죄)_115708_label.wav,1.0
316,1.강제추행(성범죄)_115711_label.wav,1.0
317,1.강제추행(성범죄)_115713_label.wav,1.0
318,1.강제추행(성범죄)_115725_label.wav,1.0
319,1.강제추행(성범죄)_115763_label.wav,1.0
320,1.강제추행(성범죄)_115786_label.wav,1.0
321,1.강제추행(성범죄)_115865_label.wav,1.0
322,1.강제추행(성범죄)_115871_label.wav,1.0
324,1.강제추행(성범죄)_115903_label.wav,1.0
325,1.강제추행(성범죄)_115969_label.wav,1.0
327,1.강제추행(성범죄)_116098_label.wav,1.0
328,1.강제추행(성범죄)_116158_label.wav,1.0
329,1.강제추행(성범죄)_116179_label.wav,1.0
330,1.강제추행(성범죄)_116181_label.wav,1.0
331,1.강제추행(성범죄)_116228_label.wav,1.0
332,1.강제추행(성범죄)_116238_label.wav,1.0
333,1.강제추행(성범죄)_116245_label.wav,1.0
334,1.강제추행(성범죄)_116459_label.wav,1.0
335,1.강제추행(성범죄)_116507_label.wav,1.0
336,1.강제추행(성범죄)_116518_label.wav,1.0
337,1.강제추행(성범죄)_116530_label.wav,1.0
338,1.강제추행(성범죄)_116531_label.wav,1.0
339,1.강제추행(성범죄)_116545_label.wav,1.0
340,1.강제추행(성범죄)_116556_label.wav,1.0
341,1.강제추행(성범죄)_116575_label.wav,1.0
342,1.강제추행(성범죄)_116584_label.wav,1.0
343,1.강제추행(성범죄)_116639_label.wav,1.0
344,1.강제추행(성범죄)_116730_label.wav,1.0
345,1.강제추행(성범죄)_116884_label.wav,1.0
346,1.강제추행(성범죄)_116926_label.wav,1.0
347,1.강제추행(성범죄)_116944_label.wav,1.0
348,1.강제추행(성범죄)_116950_label.wav,1.0
349,1.강제추행(성범죄)_117141_label.wav,1.0
350,1.강제추행(성범죄)_117224_label.wav,1.0
351,1.강제추행(성범죄)_117242_label.wav,1.0
352,1.강제추행(성범죄)_117255_label.wav,1.0
353,1.강제추행(성범죄)_117261_label.wav,1.0
354,1.강제추행(성범죄)_117278_label.wav,1.0
355,1.강제추행(성범죄)_117373_label.wav,1.0
356,1.강제추행(성범죄)_117521_label.wav,1.0
357,1.강제추행(성범죄)_117629_label.wav,1.0
358,1.강제추행(성범죄)_117636_label.wav,1.0
359,1.강제추행(성범죄)_117718_label.wav,1.0
360,1.강제추행(성범죄)_117747_label.wav,1.0
361,1.강제추행(성범죄)_117770_label.wav,1.0
362,1.강제추행(성범죄)_117823_label.wav,1.0
363,1.강제추행(성범죄)_117861_label.wav,1.0
364,1.강제추행(성범죄)_117959_label.wav,1.0
365,1.강제추행(성범죄)_118055_label.wav,1.0
366,1.강제추행(성범죄)_118066_label.wav,1.0
367,1.강제추행(성범죄)_118118_label.wav,1.0
368,1.강제추행(성범죄)_118128_label.wav,1.0
369,1.강제추행(성범죄)_118209_label.wav,1.0
370,1.강제추행(성범죄)_118244_label.wav,1.0
371,1.강제추행(성범죄)_118295_label.wav,1.0
372,1.강제추행(성범죄)_118383_label.wav,1.0
373,1.강제추행(성범죄)_118424_label.wav,1.0
374,1.강제추행(성범죄)_118437_label.wav,1.0
375,1.강제추행(성범죄)_118443_label.wav,1.0
376,1.강제추행(성범죄)_118467_label.wav,1.0
377,1.강제추행(성범죄)_118544_label.wav,1.0
378,1.강제추행(성범죄)_118546_label.wav,1.0
379,1.강제추행(성범죄)_118574_label.wav,1.0
380,1.강제추행(성범죄)_118800_label.wav,1.0
381,1.강제추행(성범죄)_118842_label.wav,1.0
382,1.강제추행(성범죄)_118875_label.wav,1.0
383,1.강제추행(성범죄)_118894_label.wav,1.0
384,1.강제추행(성범죄)_118897_label.wav,1.0
385,1.강제추행(성범죄)_118958_label.wav,1.0
386,1.강제추행(성범죄)_119009_label.wav,1.0
387,1.강제추행(성범죄)_119018_label.wav,1.0
388,1.강제추행(성범죄)_119038_label.wav,1.0
389,1.강제추행(성범죄)_119054_label.wav,1.0
390,1.강제추행(성범죄)_119079_label.wav,1.0
391,1.강제추행(성범죄)_119129_label.wav,1.0
392,1.강제추행(성범죄)_119144_label.wav,1.0
393,1.강제추행(성범죄)_119184_label.wav,1.0
394,1.강제추행(성범죄)_119200_label.wav,1.0
395,1.강제추행(성범죄)_119223_label.wav,1.0
396,1.강제추행(성범죄)_119225_label.wav,1.0
397,1.강제추행(성범죄)_119348_label.wav,1.0
398,1.강제추행(성범죄)_119393_label.wav,1.0
399,1.강제추행(성범죄)_119555_label.wav,1.0
400,1.강제추행(성범죄)_119559_label.wav,1.0
402,1.강제추행(성범죄)_119562_label.wav,1.0
403,1.강제추행(성범죄)_119595_label.wav,1.0
404,1.강제추행(성범죄)_119613_label.wav,1.0
405,1.강제추행(성범죄)_119704_label.wav,1.0
406,1.강제추행(성범죄)_119750_label.wav,1.0
407,1.강제추행(성범죄)_119846_label.wav,1.0
408,1.강제추행(성범죄)_119863_label.wav,1.0
409,1.강제추행(성범죄)_119874_label.wav,1.0
410,1.강제추행(성범죄)_119907_label.wav,1.0
411,1.강제추행(성범죄)_119958_label.wav,1.0
412,1.강제추행(성범죄)_119995_label.wav,1.0
413,1.강제추행(성범죄)_120063_label.wav,1.0
414,1.강제추행(성범죄)_120144_label.wav,1.0
415,1.강제추행(성범죄)_120291_label.wav,1.0
416,1.강제추행(성범죄)_120306_label.wav,1.0
417,1.강제추행(성범죄)_120334_label.wav,1.0
418,1.강제추행(성범죄)_120389_label.wav,1.0
419,1.강제추행(성범죄)_120392_label.wav,1.0
420,1.강제추행(성범죄)_120449_label.wav,1.0
421,1.강제추행(성범죄)_120461_label.wav,1.0
422,1.강제추행(성범죄)_120490_label.wav,1.0
423,1.강제추행(성범죄)_120581_label.wav,1.0
424,1.강제추행(성범죄)_120646_label.wav,1.0
425,1.강제추행(성범죄)_120659_label.wav,1.0
426,1.강제추행(성범죄)_120691_label.wav,1.0
427,1.강제추행(성범죄)_120716_label.wav,1.0
428,1.강제추행(성범죄)_120778_label.wav,1.0
429,1.강제추행(성범죄)_120781_label.wav,1.0
430,1.강제추행(성범죄)_120786_label.wav,1.0
431,1.강제추행(성범죄)_120822_label.wav,1.0
432,1.강제추행(성범죄)_120870_label.wav,1.0
433,1.강제추행(성범죄)_120918_label.wav,1.0
434,1.강제추행(성범죄)_120938_label.wav,1.0
435,1.강제추행(성범죄)_120944_label.wav,1.0
436,1.강제추행(성범죄)_120972_label.wav,1.0
437,1.강제추행(성범죄)_121006_label.wav,1.0
438,1.강제추행(성범죄)_121042_label.wav,1.0
439,1.강제추행(성범죄)_121145_label.wav,1.0
440,1.강제추행(성범죄)_121158_label.wav,1.0
441,1.강제추행(성범죄)_121183_label.wav,1.0
443,1.강제추행(성범죄)_1213154_label.wav,1.0
444,1.강제추행(성범죄)_1213165_label.wav,1.0
448,1.강제추행(성범죄)_1213198_label.wav,1.0
450,1.강제추행(성범죄)_1213222_label.wav,1.0
454,1.강제추행(성범죄)_1213243_label.wav,1.0
461,1.강제추행(성범죄)_1213356_label.wav,1.0
465,1.강제추행(성범죄)_1213399_label.wav,1.0
466,1.강제추행(성범죄)_121339_label.wav,1.0
467,1.강제추행(성범죄)_121348_label.wav,1.0
468,1.강제추행(성범죄)_1213513_label.wav,1.0
469,1.강제추행(성범죄)_1213563_label.wav,1.0
471,1.강제추행(성범죄)_121357_label.wav,1.0
472,1.강제추행(성범죄)_1213597_label.wav,1.0
478,1.강제추행(성범죄)_1213692_label.wav,1.0
484,1.강제추행(성범죄)_1213776_label.wav,1.0
486,1.강제추행(성범죄)_1213814_label.wav,1.0
487,1.강제추행(성범죄)_1213846_label.wav,1.0
489,1.강제추행(성범죄)_121417_label.wav,1.0
490,1.강제추행(성범죄)_121452_label.wav,1.0
491,1.강제추행(성범죄)_121479_label.wav,1.0
493,1.강제추행(성범죄)_121575_label.wav,1.0
494,1.강제추행(성범죄)_121595_label.wav,1.0
495,1.강제추행(성범죄)_121632_label.wav,1.0
496,1.강제추행(성범죄)_121654_label.wav,1.0
497,1.강제추행(성범죄)_121660_label.wav,1.0
498,1.강제추행(성범죄)_121681_label.wav,1.0
500,1.강제추행(성범죄)_121748_label.wav,1.0
501,1.강제추행(성범죄)_1217501_label.wav,1.0
504,1.강제추행(성범죄)_1217652_label.wav,1.0
508,1.강제추행(성범죄)_1217709_label.wav,1.0
